Пользователь: Williams Miss. Linda Rodriguez, женского пола, ('67',) лет совершила покупку на ('1171',) y.e.с планшетного браузера ('Safari',). Регион, из которого совершилась покупка: Los Angeles: CA
Пользователь: Williams Mr. Justin Harris, женского пола, ('34',) лет совершила покупку на ('1658',) y.e.с планшетного браузера ('Edge',). Регион, из которого совершилась покупка: San Antonio: TX
Пользователь: Joyce Mr. Paul Porter, женского пола, ('54',) лет совершила покупку на ('1066',) y.e.с планшетного браузера ('Safari',). Регион, из которого совершилась покупка: Dallas: TX
Пользователь: Schroeder Mr. Jeffrey Perkins, женского пола, ('44',) лет совершила покупку на ('1847',) y.e.с планшетного браузера ('Opera',). Регион, из которого совершилась покупка: San Diego: CA
Пользователь: Miranda Mr. Bryan Taylor, женского пола, ('44',) лет совершила покупку на ('846',) y.e.с планшетного браузера ('Chrome',). Регион, из которого совершилась покупка: Houston: TX
Пользователь: Sullivan Miss. Kayla Smith, женского пола, ('55',) лет совершила покупку на ('1932',) y.e.с планшетного браузера ('Edge',). Регион, из которого совершилась покупка: San Jose: CA
Пользователь: Taylor Miss. Jennifer Reynolds, женского пола, ('59',) лет совершила покупку на ('1462',) y.e.с планшетного браузера ('Safari',). Регион, из которого совершилась покупка: Philadelphia: PA
Пользователь: Griffin Mr. Jeffery Morgan, женского пола, ('51',) лет совершила покупку на ('686',) y.e.с планшетного браузера ('Chrome',). Регион, из которого совершилась покупка: Houston: TX
Пользователь: Kim Miss. Megan Jackson, женского пола, ('31',) лет совершила покупку на ('1674',) y.e.с планшетного браузера ('Chrome',). Регион, из которого совершилась покупка: St Louis: MO
Пользователь: Holmes Mr. Michael Walker, женского пола, ('48',) лет совершила покупку на ('1822',) y.e.с планшетного браузера ('Firefox',). Регион, из которого совершилась покупка: Phoenix: AZ
Пользователь: Collins Mr. Paul Walker, женского пола, ('25',) лет совершила покупку на ('1073',) y.e.с планшетного браузера ('Chrome',). Регион, из которого совершилась покупка: Los Angeles: CA
Пользователь: Edwards Miss. Elizabeth Howard, женского пола, ('31',) лет совершила покупку на ('566',) y.e.с планшетного браузера ('Opera',). Регион, из которого совершилась покупка: San Antonio: TX
Пользователь: Pitts Miss. Jill Sheppard, женского пола, ('60',) лет совершила покупку на ('1118',) y.e.с планшетного браузера ('Chrome',). Регион, из которого совершилась покупка: Chicago: IL
Пользователь: Bradley Mr. James Dunn, женского пола, ('52',) лет совершила покупку на ('933',) y.e.с планшетного браузера ('Chrome',). Регион, из которого совершилась покупка: St Louis: MO
Пользователь: Thompson Mr. William Thompson, женского пола, ('22',) лет совершила покупку на ('262',) y.e.с планшетного браузера ('Firefox',). Регион, из которого совершилась покупка: Philadelphia: PA
Пользователь: Krause Mr. Omar Wallace, женского пола, ('50',) лет совершила покупку на ('1110',) y.e.с планшетного браузера ('Firefox',). Регион, из которого совершилась покупка: Dallas: TX
Пользователь: Miller Miss. Cindy Hunter, женского пола, ('36',) лет совершила покупку на ('347',) y.e.с планшетного браузера ('Firefox',). Регион, из которого совершилась покупка: New York: NY
Пользователь: Lee Miss. Jennifer Johnson, женского пола, ('21',) лет совершила покупку на ('1688',) y.e.с планшетного браузера ('Edge',). Регион, из которого совершилась покупка: San Antonio: TX
Пользователь: Miles Miss. Angela Beasley, женского пола, ('37',) лет совершила покупку на ('950',) y.e.с планшетного браузера ('Safari',). Регион, из которого совершилась покупка: Chicago: IL
Пользователь: Parker Mr. Theodore Castaneda, женского пола, ('33',) лет совершила покупку на ('1078',) y.e.с планшетного браузера ('Opera',). Регион, из которого совершилась покупка: Chicago: IL
Пользователь: Nunez Mr. Shawn Maxwell, женского пола, ('21',) лет совершила покупку на ('262',) y.e.с планшетного браузера ('Safari',). Регион, из которого совершилась покупка: New York: NY
Пользователь: Graham Miss. Kelli Lee, женского пола, ('47',) лет совершила покупку на ('1365',) y.e.с планшетного браузера ('Opera',). Регион, из которого совершилась покупка: San Jose: CA
Пользователь: Dawson Miss. Vicki Nichols, женского пола, ('67',) лет совершила покупку на ('1434',) y.e.с планшетного браузера ('Firefox',). Регион, из которого совершилась покупка: Chicago: IL
Пользователь: Adams Miss. Heather Nelson, женского пола, ('64',) лет совершила покупку на ('350',) y.e.с планшетного браузера ('Firefox',). Регион, из которого совершилась покупка: San Diego: CA
Пользователь: White Mr. Charles Powell, женского пола, ('68',) лет совершила покупку на ('393',) y.e.с планшетного браузера ('Opera',). Регион, из которого совершилась покупка: San Jose: CA
Пользователь: Brown Mr. Kirk Fernandez, женского пола, ('60',) лет совершила покупку на ('1071',) y.e.с планшетного браузера ('Chrome',). Регион, из которого совершилась покупка: St Louis: MO
